	contract_id	cnt_blocks_1m	cnt_blocks_2m	cnt_blocks_3m	cnt_blocks_2m_sum	cnt_blocks_3m_sum	ratio_cnt_blocks_2m	ratio_cnt_blocks_3m	avg_block_3m	last_block	ratio_last_block_to_3m	age	contract_duration	cnt_active_services_now	cnt_active_services	cnt_canceled_services	avg_service_time	last_change_time	avg_service	cnt_contracts_in_area	cnt_active_contarcts_in_area	cnt_broken_contracts_in_area	credit_3m	credit_2m	credit_1m	cnt_transactions_3m	cnt_transactions_2m	cnt_transactions_1m	transaction_period_3m	transaction_period_2m	transaction_period_1m	avg_transaction_3m	avg_transaction_2m	avg_transaction_1m	last_transaction	ratio_last_transaction_to_3m	ratio_last_transaction_to_2m	ratio_last_transaction_to_1m	last_transaction_time	ratio_last_transaction_time_to_1m	ratio_last_transaction_time_to_2m	ratio_last_transaction_time_to_3m	cnt_favorite_transactions	cnt_types_of_transaction	cnt_tariff_plan	last_tariff_plan_change	tariff_payment_now	tariff_payment_before	diff_in_tariff_payments	avg_tariff_change_time	cnt_equip	traffic_activity_1m	open_sessions_1m	traffic_activity_2m	open_sessions_2m	traffic_activity_3m	open_sessions_3m	traffic_activity_1w	open_sessions_1w	traffic_activity_2w	open_sessions_2w	traffic_activity_3w	open_sessions_1m.1	traffic_activity_4w	open_sessions_4w	ratio_traffic_1m_to_3m	ratio_traffic_1m_to_2m	avg_daily_traffic_1m	avg_daily_traffic_2m	avg_daily_traffic_3m	avg_daily_traffic_1w	avg_daily_traffic_2w	avg_daily_traffic_3w	avg_daily_traffic_4w	avg_traffic_per_session_1m	avg_traffic_per_session_2m	avg_traffic_per_session_3m	avg_traffic_per_session_1w	avg_traffic_per_session_2w	avg_traffic_per_session_3w	avg_traffic_per_session_4w	ARPU	churn
0	4965	0	3	1	3	4	0,7779773547	0	521	392,600029743	2,7411733379	63	1715	0	0	2	2438	634	0	62	9	1	11,1816888285	4,3425940072	0,3737018141	0	0	6	8	64	65	0	0	12,7711171399	0	4,0962422891	0	0,3740728793	0	0,7176802519	1,6460251128	0	60	2	0	2802	0,1477218361	0	0,1477218361	0	1	55,1938186202	425897	112,863115159	944377	10,7324022977	94749	0	0	20,5784488883	157221	3,6923348263	26231	12,8077270448	100708	1	1	1,3226445405	2,0375077998	1,2398307657	0	0	0	0	0,0001816397	0,0018004965	0	4,58419011335e-05	0,0016659244	0	0	890	1
1	4974	0	6	0	6	6	1	0,4156129098	474	1148,81511032	2,3318567787	47	1050	0	3	0	0	621	0	130	73	5	0	0,9627378295	0,0552357898	8	0	3	3	5	35	2,9035101137	1,0036416494	0	4,6943532877	3,5440347317	1,4649731771	0	20	0,8530995198	0,4743479341	0	103	0	0	204	0	3,9321650055	-3,9321650055	390,275152592	4	0	0	0	0	0	0	4,6058961516	41704	0	0	1,7585262944	12492	2,4016634876	18884	0	0	0,1302455994	4,4827711878	6,5350655597	1,0178284573	0	0,8188339631	4,3181018369	0,0003116436	0,0003189455	0,000200679	0,0001650431	0,0023170273	0	0,0011176568	538	1
2	2018	0	0	0	0	0	0,7447090827	0,4366654668	0	0	0	66	1279	1	0	0	1997	0	0,0178586026	32	25	2	16,6941414657	4,1530927778	0,2276475345	0	6	0	0	106	2	1,8146381918	0,9815605267	8,1569893166	0	1,8984003028	6,2013063128	0,581330511	45	3,9300028796	0	0,776141001	145	0	3	575	0,2024328216	0,2111524119	-0,0087195903	150,923318435	3	58,3656644167	486686	0	0	175,148791073	1499615	0	0	13,6858477696	113307	5,4062433572	45374	8,7668525651	73580	0,0677438103	0,4168548721	1,9687834032	0,6168995473	0	1,5811970874	1,06812641	2,2273355244	0	0,0001814852	1,00306714884e-05	0,0002617737	0	9,20118316613e-05	0	0	1340	0
3	2628	1	0	0	1	1	0	0,7024947818	166	357,590606298	1,0855322039	29	269	0	5	4	0	1314	1,3040236253	68	1	0	7,1677446433	7,7844769286	1,8099180608	0	12	3	78	24	121	1,7805740569	0	0	0	3,3894454761	0	1,2988378412	45	0	4,387457502	1,3744872039	132	1	5	0	2,3747449223	0,0667609237	2,3079839987	346,500326635	8	0	0	75,4267641785	631130	51,2239111219	452221	2,811313623	25455	19,0430150322	145490	15,9498530374	113310	0	0	0,5114550491	0	0	0,7639668704	0	0	0	0	0	0	0	8,25253828637e-05	0	0,0020704039	0,0005924582	0	153,688501747	1
4	3336	0	0	0	0	0	0	1	780	0	0	28	3457	0	3	0	1101	447	1,1393204754	322	266	15	2,9206316526	1,2792264564	0	0	3	0	0	44	0	4,6461350105	0,8522833762	4,7793594518	11,3316590957	0	2,3674539406	4,821389285	0	0	0	0	32	3	14	266	1,5020133658	7,4322567456	-5,9302433799	253,626876618	0	0	0	409,621572865	3427492	43,0667747676	380207	0	0	6,0855002194	46493	0	0	6,5209151027	51274	0	0,5554623955	0	0	0,0985504014	0,7619829756	0	3,2585545297	1,6010987599	0	0	0,0002427932	0,0003713651	0,0015037166	0	0	1046	1
5	4950	6	5	0	11	11	0,3487952343	0,6182790319	55	1403,52872604	2,257265383	41	1238	1	1	14	730	1090	0,0162589696	33	8	0	0	20,5485962562	3,4262640232	3	0	0	0	0	103	3,4550686343	8,1062481688	0,9611477553	8,2039870822	0	3,9333652629	1,4143239948	126	2,8266018655	0	0	50	3	12	0	0	0,129487892	-0,129487892	1180,77899517	0	0	0	0	0	0	0	0	0	17,1751923155	131220	45,5355242583	323493	0	0	0,2488539823	0	0,8720160626	2,3304983305	1,215685643	0	0	2,6733191812	1,6591632906	0	0	0	0	0,0020424376	0	0	860	0
6	1896	0	3	0	3	3	1	0,8287131115	0	0	1,0598301762	59	1735	0	6	0	355	670	1,1779217031	10	9	0	0	16,9073480202	0	10	0	3	0	0	33	1,7569533616	5,8805287559	3,0898905035	0,1840541485	2,2716289167	1,1434807588	0,8947301649	21	2,438441113	2,0633115731	0,496425945	141	5	12	1477	3,6803383239	0	3,6803383239	0	0	11,4798795541	95725	103,415268804	936059	39,9067261806	341679	0	0	12,2504089342	101422	12,9419797986	108622	8,2750312363	69452	0,1166580943	1	0,1774025377	2,1047378018	0	2,4875425572	0	0	0	0,0006250127	0	0,0002702919	0	0,0001391374	0	0,0019243523	1537,19157339	0
7	4689	0	0	1	0	1	0,8522016289	0,7735679372	0	0	0	37	2820	0	2	2	0	796	1,4119773418	164	124	21	0,5982521218	1,2474534013	0	9	17	0	0	0	0	4,4683571447	0,4951957208	0	1,3777405195	0,1959242147	4,9356052699	1,0919297223	0	0,994503496	0	2,2058295567	214	3	0	256	0	3,510600012	-3,510600012	63,5352116107	0	0	0	34,8817155434	291871	0	0	4,8808519825	44194	0	0	0	0	51,6063141998	405787	0	0,0080616521	2,1781279926	0	0	0,1434443196	0	0	0	0	0,0011961943	0	0,0006764657	0	0,0006811602	0	966	1
8	1539	3	0	3	3	6	0,4550319977	1	1153	0	49,8575531509	43	107	0	0	0	2821	380	1,4546741441	164	127	7	12,9703531038	2,9362087965	0	0	0	5	16	13	0	0	7,6723781235	2,0861483136	3,169001018	4,6668863896	0	3,2538494827	26	0,1050851309	0,8611236705	0,8876535795	89	9	2	364	1,6463876906	0,3861104536	1,260277237	0	0	16,0623181144	133936	51,5366227217	466482	0	0	0	0	0	0	0	0	0,3179931282	2668	0	1	0	1,8686133104	3,9104727261	0,1765998661	0	0	0,2321801469	0,0001992294	0,0007543426	0,0008372948	0,0005345847	4,38155438032e-05	1,15911175259e-05	0,0004457424	1020	0
9	1891	1	0	2	1	3	0,664563575	0,8839050431	947	0	0	60	1999	0	10	1	1107	210	0,3294416031	10	8	0	0	0	10,0301143855	5	6	0	4	9	0	7,0565176506	6,1652319694	0	1,7268395485	0,2260441506	0	0	0	4,1792946576	0	3,6800046037	222	6	0	0	1,2531169255	9,7663569773	-8,5132400519	524,665409043	0	0	0	33,9538217711	307331	159,452953183	1365228	1,4840068806	10625	12,2351155839	101296	0	0	9,0339801967	75822	0	1	1,6163308556	1,8784077019	0	2,2642490404	0	0	0	0,0002074455	0,000255607	0	0,0002663749	0	0	0	687,216927623	0
